Net,Netsynth (zoo)
Aarnet,0.102
Abilene,0.159
Abvt,0.134
Aconet,0.22
Agis,0.468
Airtel,0.101
Ans,0.198
Arnes,0.186
Arpanet196912,0.097
Arpanet19706,0.307
Arpanet19719,0.209
AsnetAm,0.175
AttMpls,0.2
Bandcon,0.176
Bbnplanet,0.243
Bellcanada,0.231
Bellsouth,0.178
Belnet2003,0.168
Belnet2004,0.173
Belnet2005,0.168
Belnet2006,0.11
Belnet2007,0.255
Belnet2008,0.16
Belnet2009,0.235
BeyondTheNetwork,0.145
Bics,0.313
Biznet,0.242
BsonetEurope,0.301
BtAsiaPac,0.158
BtEurope,0.241
BtLatinAmerica,0.152
BtNorthAmerica,0.342
Canerie,0.23
Cernet,0.516
Cesnet2001,0.151
Cesnet200304,0.134
Cesnet200511,0.123
Cesnet200603,0.118
Cesnet200706,0.108
Cesnet201006,0.119
Chinanet,0.119
Claranet,0.124
Cogentco,0.471
Colt,0.126
Columbus,0.116
Compuserve,0.151
CrlNetworkServices,0.646
Cudi,0.135
Cwix,0.243
Darkstrand,0.255
Dataxchange,0.118
Deltacom,0.182
DeutscheTelekom,0.16
Dfn,0.167
DialtelecomCz,0.168
Digex,0.341
Easynet,0.191
Eenet,0.092
EliBackbone,0.409
Epoch,0.085
Ernet,0.144
Esnet,0.094
Eunetworks,0.315
Evolink,0.157
Fatman,0.164
Fccn,0.104
Forthnet,0.112
Funet,0.294
Gambia,0.265
Garr199901,0.117
Garr199904,0.137
Garr199905,0.138
Garr200109,0.109
Garr200112,0.134
Garr200212,0.126
Garr200404,0.151
Garr200902,0.176
Garr200908,0.163
Garr200909,0.208
Garr200912,0.159
Garr201001,0.231
Garr201003,0.168
Garr201004,0.195
Garr201005,0.161
Garr201007,0.184
Garr201008,0.156
Garr201010,0.171
Garr201012,0.178
Garr201101,0.181
Garr201102,0.186
Garr201103,0.184
Garr201104,0.2
Garr201105,0.159
Garr201107,0.277
Garr201108,0.943
Garr201109,0.223
Garr201110,0.185
Garr201111,0.193
Garr201112,0.244
Garr201201,0.209
Geant2001,0.193
Geant2009,0.178
Geant2010,0.152
Geant2012,0.168
Getnet,0.134
Globalcenter,0.102
Globenet,0.285
Goodnet,0.174
Gridnet,0.121
Grnet,0.158
GtsCe,0.065
GtsPoland,0.212
GtsRomania,0.104
GtsSlovakia,0.146
Harnet,0.179
Heanet,0.065
HiberniaCanada,0.263
HiberniaGlobal,0.118
HiberniaNireland,0.159
HiberniaUs,0.309
Highwinds,0.235
HostwayInternational,0.214
HurricaneElectric,0.155
Ibm,0.193
Iij,0.177
Iinet,0.177
Integra,0.209
Intellifiber,0.208
Internetmci,0.208
Internode,0.168
Interoute,0.105
Intranetwork,0.19
Ion,0.185
IowaStatewideFiberMap,0.193
Iris,0.293
Istar,0.084
Janetbackbone,0.135
Janetlense,0.126
Karen,0.225
Kdl,0.095
KentmanApr2007,0.134
KentmanAug2005,1.105
KentmanFeb2008,0.419
KentmanJan2011,0.16
KentmanJul2005,0.099
Latnet,0.144
Layer42,0.117
Marnet,0.102
Missouri,0.142
Myren,0.095
Napnet,0.102
Navigata,0.125
Netrail,0.118
NetworkUsa,0.291
Nextgen,0.102
Niif,0.091
Noel,0.214
Nordu2005,0.144
Nordu2010,0.134
Nsfcnet,0.16
Nsfnet,0.144
Ntelos,0.151
Ntt,0.203
Oteglobe,0.263
Oxford,0.212
Pacificwave,0.108
Packetexchange,0.108
Palmetto,0.227
Peer1,0.329
Pern,0.111
PionierL1,0.437
PionierL3,0.107
Psinet,0.066
Quest,0.138
RedBestel,0.083
Rediris,0.113
Renater2001,0.11
Renater2004,0.157
Renater2006,0.265
Renater2008,0.26
Renater2010,0.353
Restena,0.13
Rhnet,0.074
Rnp,0.242
Roedunet,0.14
RoedunetFibre,0.19
Sanet,0.365
Sanren,0.239
Shentel,0.126
Sinet,0.174
Sprint,0.118
Sunet,0.118
Surfnet,0.168
Switch,0.164
SwitchL3,0.115
TLex,0.085
TataNld,0.117
Telecomserbia,0.189
Tinet,0.251
Tw,0.212
Twaren,0.128
Ulaknet,0.084
UniC,0.067
Uninet,0.107
Uninett2010,0.293
Uninett2011,0.169
Uran,0.151
UsCarrier,0.264
UsSignal,0.129
Uunet,0.203
Vinaren,0.076
WideJpn,0.126
Xeex,0.061
Xspedius,0.119
York,0.058

